,0,1,2,3,4,5,6,7,8,9,10,AIC,BIC
866,0,1,1,0,1,1,0,0,0,1,0,38.78154931,76.48889054
1504,1,0,1,1,1,1,0,0,0,0,0,38.78376941,76.49111064
872,0,1,1,0,1,1,0,1,0,0,0,38.79015238,76.49749361
482,0,0,1,1,1,1,0,0,0,1,0,38.79880485,76.50614607
484,0,0,1,1,1,1,0,0,1,0,0,38.7992882,76.50662942
1107,1,0,0,0,1,0,1,0,0,1,1,38.80020656,76.50754779
274,0,0,1,0,0,0,1,0,0,1,0,43.51482418,76.50874776
488,0,0,1,1,1,1,0,1,0,0,0,38.80441092,76.51175215
1378,1,0,1,0,1,1,0,0,0,1,0,38.80701382,76.51435505
1380,1,0,1,0,1,1,0,0,1,0,0,38.80777404,76.51511527
1384,1,0,1,0,1,1,0,1,0,0,0,38.81332987,76.52067109
1137,1,0,0,0,1,1,1,0,0,0,1,38.81671584,76.52405707
1129,1,0,0,0,1,1,0,1,0,0,1,38.81743059,76.52477182
1392,1,0,1,0,1,1,1,0,0,0,0,38.82105976,76.52840099
549,0,1,0,0,0,1,0,0,1,0,1,41.18762356,76.53825596
620,0,1,0,0,1,1,0,1,1,0,0,38.83550949,76.54285072
960,0,1,1,1,1,0,0,0,0,0,0,41.19339678,76.54402918
496,0,0,1,1,1,1,1,0,0,0,0,38.83863359,76.54597482
880,0,1,1,0,1,1,1,0,0,0,0,38.84025339,76.54759461
596,0,1,0,0,1,0,1,0,1,0,0,41.19878859,76.54942099
1346,1,0,1,0,1,0,0,0,0,1,0,41.20935404,76.55998644
744,0,1,0,1,1,1,0,1,0,0,0,38.85797994,76.56532116
628,0,1,0,0,1,1,1,0,1,0,0,38.85919018,76.5665314
1250,1,0,0,1,1,1,0,0,0,1,0,38.86038274,76.56772397
1760,1,1,0,1,1,1,0,0,0,0,0,38.86185481,76.56919604
614,0,1,0,0,1,1,0,0,1,1,0,38.86245974,76.56980097
1252,1,0,0,1,1,1,0,0,1,0,0,38.86255697,76.5698982
738,0,1,0,1,1,1,0,0,0,1,0,38.86952037,76.57686159
632,0,1,0,0,1,1,1,1,0,0,0,38.87108089,76.57842212
1256,1,0,0,1,1,1,0,1,0,0,0,38.87124702,76.57858825
1634,1,1,0,0,1,1,0,0,0,1,0,38.87321388,76.58055511
331,0,0,1,0,1,0,0,1,0,1,1,38.87743111,76.58477234
1352,1,0,1,0,1,0,0,1,0,0,0,41.24503544,76.59566784
1636,1,1,0,0,1,1,0,0,1,0,0,38.89034266,76.59768389
752,0,1,0,1,1,1,1,0,0,0,0,38.890815,76.59815623
1360,1,0,1,0,1,0,1,0,0,0,0,41.25312645,76.60375885
836,0,1,1,0,1,0,0,0,1,0,0,41.2631903,76.6138227
1218,1,0,0,1,1,0,0,0,0,1,0,41.26656377,76.61719617
361,0,0,1,0,1,1,0,1,0,0,1,38.91754081,76.62488204
369,0,0,1,0,1,1,1,0,0,0,1,38.92215284,76.62949407
1640,1,1,0,0,1,1,0,1,0,0,0,38.92501826,76.63235948
464,0,0,1,1,1,0,1,0,0,0,0,41.28641078,76.63704318
450,0,0,1,1,1,0,0,0,0,1,0,41.28800788,76.63864028
42,0,0,0,0,0,1,0,1,0,1,0,43.6592602,76.65318378
1264,1,0,0,1,1,1,1,0,0,0,0,38.94646963,76.65381086
204,0,0,0,1,1,0,0,1,1,0,0,41.30694084,76.65757324
1106,1,0,0,0,1,0,1,0,0,1,0,41.30857941,76.65921181
339,0,0,1,0,1,0,1,0,0,1,1,38.95406983,76.66141105
202,0,0,0,1,1,0,0,1,0,1,0,41.31124645,76.66187885
456,0,0,1,1,1,0,0,1,0,0,0,41.31140334,76.66203574
362,0,0,1,0,1,1,0,1,0,1,0,38.97370411,76.68104534
370,0,0,1,0,1,1,1,0,0,1,0,38.9752247,76.68256593
244,0,0,0,1,1,1,1,0,1,0,0,38.97721596,76.68455719
708,0,1,0,1,1,0,0,0,1,0,0,41.33396268,76.68459508
234,0,0,0,1,1,1,0,1,0,1,0,38.98446286,76.69180408
358,0,0,1,0,1,1,0,0,1,1,0,38.98490499,76.69224622
1616,1,1,0,0,1,0,1,0,0,0,0,41.34250778,76.69314018
364,0,0,1,0,1,1,0,1,1,0,0,38.99001445,76.69735568
372,0,0,1,0,1,1,1,0,1,0,0,38.990221,76.69756223
210,0,0,0,1,1,0,1,0,0,1,0,41.34875919,76.69939159
212,0,0,0,1,1,0,1,0,1,0,0,41.36040333,76.71103573
1100,1,0,0,0,1,0,0,1,1,0,0,41.3680905,76.7187229
1282,1,0,1,0,0,0,0,0,0,1,0,43.73199142,76.72591499
1027,1,0,0,0,0,0,0,0,0,1,1,43.73456703,76.7284906
1108,1,0,0,0,1,0,1,0,1,0,0,41.38164567,76.73227807
248,0,0,0,1,1,1,1,1,0,0,0,39.02556999,76.73291122
1648,1,1,0,0,1,1,1,0,0,0,0,39.02940237,76.73674359
848,0,1,1,0,1,0,1,0,0,0,0,41.38918015,76.73981255
1140,1,0,0,0,1,1,1,0,1,0,0,39.03350853,76.74084976
1126,1,0,0,0,1,1,0,0,1,1,0,39.03770405,76.74504527
1224,1,0,0,1,1,0,0,1,0,0,0,41.39676166,76.74739406
376,0,0,1,0,1,1,1,1,0,0,0,39.04260736,76.74994859
1132,1,0,0,0,1,1,0,1,1,0,0,39.04472571,76.75206694
216,0,0,0,1,1,0,1,1,0,0,0,41.40488734,76.75551974
1112,1,0,0,0,1,0,1,1,0,0,0,41.40544196,76.75607436
1232,1,0,0,1,1,0,1,0,0,0,0,41.40830422,76.75893662
1602,1,1,0,0,1,0,0,0,0,1,0,41.40848849,76.75912089
706,0,1,0,1,1,0,0,0,0,1,0,41.40933134,76.75996374
720,0,1,0,1,1,0,1,0,0,0,0,41.41133109,76.76196349
1728,1,1,0,1,1,0,0,0,0,0,0,41.41606434,76.76669674
712,0,1,0,1,1,0,0,1,0,0,0,41.42218215,76.77281455
170,0,0,0,1,0,1,0,1,0,1,0,41.42794009,76.77857249
1608,1,1,0,0,1,0,0,1,0,0,0,41.43134093,76.78197333
416,0,0,1,1,0,1,0,0,0,0,0,43.79621011,76.79013369
338,0,0,1,0,1,0,1,0,0,1,0,41.44929825,76.79993065
1144,1,0,0,0,1,1,1,1,0,0,0,39.09494766,76.80228889
333,0,0,1,0,1,0,0,1,1,0,1,39.10362079,76.81096202
709,0,1,0,1,1,0,0,0,1,0,1,39.10458393,76.81192515
588,0,1,0,0,1,0,0,1,1,0,0,41.46278309,76.81341549
131,0,0,0,1,0,0,0,0,0,1,1,43.82452574,76.81844931
203,0,0,0,1,1,0,0,1,0,1,1,39.11563041,76.82297163
332,0,0,1,0,1,0,0,1,1,0,0,41.47468278,76.82531518
600,0,1,0,0,1,0,1,1,0,0,0,41.48108861,76.83172101
1060,1,0,0,0,0,1,0,0,1,0,0,43.84507976,76.83900333
582,0,1,0,0,1,0,0,0,1,1,0,41.49216906,76.84280147
340,0,0,1,0,1,0,1,0,1,0,0,41.49753633,76.84816873
1160,1,0,0,1,0,0,0,1,0,0,0,43.88067276,76.87459633
400,0,0,1,1,0,0,1,0,0,0,0,43.89813572,76.8920593
13,0,0,0,0,0,0,0,1,1,0,1,43.90208818,76.89601175
344,0,0,1,0,1,0,1,1,0,0,0,41.56710455,76.91773695
326,0,0,1,0,1,0,0,0,1,1,0,41.58156607,76.93219847
290,0,0,1,0,0,1,0,0,0,1,0,43.96478626,76.95870984
176,0,0,0,1,0,1,1,0,0,0,0,43.96882315,76.96274672
